PSR %CPU
PSR %CPU
  0 11.5
  3  0.5
  2  0.0
  1  0.4
  1  0.0
  2  0.0
  2  0.0
  1  0.5
  2  0.4
PSR %CPU
  0 11.4
  3  0.5
  3  0.0
  2  0.4
  2  0.0
  2  0.0
  0  0.0
  1  0.5
  0  0.4
PSR %CPU
  1 12.1
  2  0.5
  3  0.0
  3  0.4
  2  0.0
  2  0.0
  3  0.0
  2  0.5
  0  0.4
PSR %CPU
  1 12.2
  3  0.5
  3  0.0
  3  0.4
  3  0.0
  3  0.0
  3  0.0
  1  0.5
  0  0.5
PSR %CPU
  1 12.5
  2  0.5
  3  0.0
  1  0.4
  3  0.0
  3  0.0
  0  0.0
  3  0.5
  0  0.5
PSR %CPU
  1 12.6
  3  0.5
  0  0.0
  2  0.4
  2  0.0
  3  0.0
  0  0.0
  0  0.5
  0  0.5
PSR %CPU
  1 12.8
  0  0.5
  0  0.0
  0  0.4
  2  0.0
  3  0.0
  0  0.0
  0  0.5
  3  0.5
PSR %CPU
  1 13.1
  0  0.5
  0  0.0
  0  0.4
  2  0.0
  3  0.0
  0  0.0
  3  0.5
  3  0.5
PSR %CPU
  1 13.2
  0  0.5
  0  0.0
  0  0.4
  2  0.0
  1  0.0
  2  0.0
  3  0.5
  3  0.5
PSR %CPU
  3 13.7
  0  0.6
  0  0.0
  2  0.5
  3  0.0
  2  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  1 13.8
  0  0.6
  0  0.0
  2  0.4
  3  0.0
  2  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  1 14.4
  0  0.6
  0  0.0
  2  0.4
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  1 14.4
  1  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  1 15.0
  1  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  1 15.1
  2  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  3 15.5
  2  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  3 15.7
  2  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  1 15.9
  3  0.6
  0  0.0
  1  0.5
